Id,MeasurementTime,SensorName,SensorDescription,SensorDetails,Type,Units,CurrentValue,Lat,Long
13367229,2020-06-01T00:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.5894,-31.64478,152.82822
13367230,2020-06-01T00:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.365058328,-31.64478,152.82822
13367231,2020-06-01T00:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/2,conductivity,Siemens per meter,4.41973,-31.64478,152.82822
13367232,2020-06-01T00:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.5347,-31.64478,152.82822
13367233,2020-06-01T00:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/3,pressure,decibars,0.358,-31.64478,152.82822
13367234,2020-06-01T00:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.381373784,-31.64478,152.82822
13367235,2020-06-01T00:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.227848229417,-31.64478,152.82822
13367236,2020-06-01T00:00:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.446635608,-31.64478,152.82822
13367518,2020-06-01T01:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.718,-31.64478,152.82822
13367519,2020-06-01T01:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.288579628,-31.64478,152.82822
13367520,2020-06-01T01:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/2,conductivity,Siemens per meter,4.44986,-31.64478,152.82822
13367521,2020-06-01T01:50:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.377148942315,-31.64478,152.82822
13367522,2020-06-01T01:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.274768439998,-31.64478,152.82822
13367523,2020-06-01T01:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.5659,-31.64478,152.82822
13367524,2020-06-01T01:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.264319399526,-31.64478,152.82822
13367525,2020-06-01T01:40:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.296737356,-31.64478,152.82822
13367526,2020-06-01T01:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.5381,-31.64478,152.82822
13367527,2020-06-01T01:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/4,salinity,parts per thousand,33.435121022626,-31.64478,152.82822
13367528,2020-06-01T01:30:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.312033096,-31.64478,152.82822
13367529,2020-06-01T01:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/1,temperature,degrees Celsius,18.7278,-31.64478,152.82822
13367530,2020-06-01T01:20:00Z,NSW_CH_01,Camden Haven,/feeds/20/datastreams/10,water depth,meters,0.329368268,-31.64478,152.82822
